bot_id,market,algorithm,symbol,status,deactivated_at,deactivation_reason
nasdaq_avgo_rl_dqn__ps,NASDAQ,rl_dqn__ps,AVGO,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_cost_rl_dqn__ps,NASDAQ,rl_dqn__ps,COST,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_csco_rl_dqn__ps,NASDAQ,rl_dqn__ps,CSCO,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_googl_rl_dqn__ps,NASDAQ,rl_dqn__ps,GOOGL,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_intc_rl_dqn__ps,NASDAQ,rl_dqn__ps,INTC,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_meta_rl_dqn__ps,NASDAQ,rl_dqn__ps,META,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_msft_rl_dqn__ps,NASDAQ,rl_dqn__ps,MSFT,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_nflx_rl_dqn__ps,NASDAQ,rl_dqn__ps,NFLX,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_nvda_rl_dqn__ps,NASDAQ,rl_dqn__ps,NVDA,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_qcom_rl_dqn__ps,NASDAQ,rl_dqn__ps,QCOM,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
nasdaq_tsla_rl_dqn__ps,NASDAQ,rl_dqn__ps,TSLA,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_bac_rl_dqn__ps,SP500,rl_dqn__ps,BAC,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_cvx_rl_dqn__ps,SP500,rl_dqn__ps,CVX,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_gs_rl_dqn__ps,SP500,rl_dqn__ps,GS,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_jnj_rl_dqn__ps,SP500,rl_dqn__ps,JNJ,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_jpm_rl_dqn__ps,SP500,rl_dqn__ps,JPM,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_ko_rl_dqn__ps,SP500,rl_dqn__ps,KO,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_ma_rl_dqn__ps,SP500,rl_dqn__ps,MA,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_pfe_rl_dqn__ps,SP500,rl_dqn__ps,PFE,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_pg_rl_dqn__ps,SP500,rl_dqn__ps,PG,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_qqq_rl_dqn__ps,SP500,rl_dqn__ps,QQQ,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_spy_rl_dqn__ps,SP500,rl_dqn__ps,SPY,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_unh_rl_dqn__ps,SP500,rl_dqn__ps,UNH,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_v_rl_dqn__ps,SP500,rl_dqn__ps,V,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_wmt_rl_dqn__ps,SP500,rl_dqn__ps,WMT,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
sp500_xom_rl_dqn__ps,SP500,rl_dqn__ps,XOM,DEACTIVATED,2026-07-01 21:00,"Per-symbol RL: chi 1 symbol -> 1-4 episode intraday, khong du de DQN hoc (can hang tram episode da dang). Luon HOLD -> idle 0 lenh. Deactivate cho toi khi du du lieu."
